Region,Product,Quarter,UnitsSold,Revenue,CustomerFeedback
North America,TrailBlaze Hiking Boots,Q1,1200,89880,"Customers love the durability but wish there were more colors."
North America,TrailBlaze Hiking Boots,Q2,1450,108605,"Great arch support, though sizing runs a little small."
North America,SummitPeak Backpack,Q1,860,64285,"The waterproofing works well even in heavy rain."
North America,SummitPeak Backpack,Q2,910,68030,"Straps are comfortable, but the zipper feels flimsy."
Europe,TrailBlaze Hiking Boots,Q1,760,56924,"Shipping took longer than expected but the boots were worth the wait."
Europe,TrailBlaze Hiking Boots,Q2,845,63292,"Excellent grip on wet trails, very happy with this purchase."
Europe,SummitPeak Backpack,Q1,530,39643,"Wish it came in a larger size for multi-day trips."
Europe,SummitPeak Backpack,Q2,610,45631,"The organization pockets are a great addition this quarter."
Asia Pacific,TrailBlaze Hiking Boots,Q1,940,70358,"Good value for the price, will buy again."
Asia Pacific,TrailBlaze Hiking Boots,Q2,1020,76398,"Some customers reported the soles wearing out quickly."
Asia Pacific,SummitPeak Backpack,Q1,410,30669,"Lightweight design is perfect for short hikes."
Asia Pacific,SummitPeak Backpack,Q2,455,34047,"Customer support was slow to respond to a warranty question."
Latin America,TrailBlaze Hiking Boots,Q1,510,38169,"Delivery was fast and the packaging was excellent."
Latin America,TrailBlaze Hiking Boots,Q2,560,41944,"A few customers mentioned the laces fray after heavy use."
Latin America,SummitPeak Backpack,Q1,320,23968,"Good capacity for weekend trips, holds up well."
Latin America,SummitPeak Backpack,Q2,365,27323,"Customers are asking for a version with a hydration bladder."
